FILE NAME,Microbial-Protocol-high-OTR_20220504_135030-cc-parentaltest.csv
PROTOCOL,Microbial-Protocol-high-OTR
FILE_VERSION,3.3
DATE START,4.5.2022,13:52:04
DATE END,4.5.2022,13:52:04
DEVICE,BL045-CX_0CFD20
USER,ben,COMMENT,no comment available
PLATETYPE,MTP-48-Flowerplate,LOT,UNKOWN
MTP ROWS,6
MTP COLUMNS,8
FILTERSETS,1

FILTERSET,FILTERNAME,EX [nm],EM [nm],LAYOUT,FILTERNO,GAIN,PHASESTATISTICSSIGMA,SIGNALQUALITYTOLERANCE,REFERENCE VALUE,Process Parameters,,Calibration Parameters,,,,Criterion Parameters,,
1,Biomass,620,620,48MTP,1,30,1,0,100,SET TEMPERATURE [C],32,Phi0,66.16,Biomass Slope,0.044,CRITERION,,
,,,,,,,,,,SET HUMIDITY [%],85,Phi100,38.81,Biomass Offset,5,FI,,
,,,,,,,,,,SET O2 [%],20.95,Phi.min,57.17,Biomass Unit,OD600 [-],FJ,,
,,,,,,,,,,SET CO2 [%],0,Phi.max,18.04,,,FACTOR,0,
,,,,,,,,,,SET SHAKER FREQUENCY [rpm],1000,pH0,6.49,,,S0,NaN,
,,,,,,,,,,SET CYCLE TIME [min],10,dpH,0.53,,,EXTRA INFO,,
,,,,,,,,,,SET EXP TIME [h],1193,Temp. Compensation for pH Calibration,True,Temp. pH [C],32,,,
,,,,,,,,,,,,Temp. Compensation for pO2 Calibration,True,Temp. pO2 [C],32,,,

WELL No.,CONTENT,DESCRIPTION,CHANNEL,
,,,READING ->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268
F06,X46,,1,68.129,67.334,72.245,68.254,81.373,71.725,78.45,73.662,59.717,73.164,72.293,74.665,78.831,74.414,74.187,71.341,74.447,80.891,80.169,83.94,76.383,89.211,78.915,76.658,90.518,80.825,87.341,83.019,92.364,70.764,67.354,92.741,76.397,77.568,86.501,82.943,80.34,97.305,76.089,85.453,87.23,81.876,78.599,68.521,71.418,81.129,85.185,77.083,81.906,96.817,101.902,109.707,90.331,82.173,82.267,94.75,87.276,89.191,99.291,113.639,104.386,99.744,90.18,81.174,82.664,100.818,98.431,102.187,94.257,95.932,102.405,97.953,119.99,102.399,96.483,114.392,113.888,107.905,110.135,120.81,131.323,135.785,105.359,128.543,131.824,136.497,142.611,136.59,139.527,141.287,166.441,169.321,180.846,172.988,171.437,166.106,177.512,186.786,189.794,190.566,202.048,201.346,197.633,201.177,212.087,210.639,220.276,224.964,227.412,233.367,242.022,247.695,254.303,259.347,267.818,270.258,275.973,279.394,280.603,278.525,273.743,268.107,265.673,258.999,260.898,259.059,253.548,259.642,252.161,252.877,249.094,247.091,248.875,246.529,251.235,248.942,248.251,248.599,249.346,249.799,251.018,252.418,248.058,249.559,250.697,251.042,254.535,251.245,252.506,252.489,252.604,251.688,250.292,249.895,252.645,254.76,252.142,250.446,256.427,252.157,250.763,256.416,252.117,255.406,251.965,254.496,257.49,257.956,255.358,256.847,254.237,257.359,258.201,260.778,257.256,258.239,256.808,256.839,259.709,261.085,259.319,265.022,265.263,264.157,259.639,265.195,264.501,260.794,260.189,265.39,266.652,265.159,265.097,262.674,263.748,263.63,270.425,266.261,264.68,266.508,267.902,265.038,270.266,268.277,267.544,268.169,266.636,270.886,272.228,272.073,270.82,277.276,271.574,273.671,277.397,272.955,275.643,274.964,274.75,275.903,275.374,279.289,280.951,279.048,282.259,276.852,277.1,280.937,274.505,276.954,278.076,276.024,271.902,273.018,274.078,273.84,275.76,277.027,277.107,280.663,282.66,282.147,283.721,286.049,285.192,283.867,290.878,292.826,290.728,291.501,293.457,294.824,295.564,296.357,298.352,294.825,300.013,298.571,301.961,300.252,304.82,303.339,303.184,305.611,306.244,304.475,305.307,311.009
F07,X47,,1,62.878,65.466,66.717,64.849,63.709,64.392,63.614,63.344,63.316,61.946,64.766,60.22,63.408,61.407,61.767,59.806,59.852,60.036,61.886,66.8,64.717,63.382,63.063,63.255,61.025,59.48,61.146,60.72,58.166,60.119,58.021,58.399,57.881,57.088,58.324,56.276,57.289,56.586,57.529,56.709,55.66,55.985,54.54,54.578,52.754,53.232,51.783,51.816,52.182,52.368,52.003,51.817,52.707,52.745,52.591,52.117,51.891,51.873,52.027,51.273,51.493,51.756,52.253,52.431,52.088,51.842,51.852,52.288,51.935,52.315,51.663,51.753,51.855,51.61,51.201,50.874,51.188,50.819,51.246,51.03,51.266,51.529,51.124,50.463,51.079,50.722,51.035,50.92,50.712,50.385,50.11,50.644,50.419,50.553,50.826,50.427,50.331,50.18,50.318,50.162,50.187,50.213,50.613,50.747,50.297,50.454,50.383,50.477,50.488,50.111,50.847,50.463,50.664,50.544,50.556,50.673,50.711,50.648,50.699,50.788,50.474,50.745,50.468,50.843,50.308,50.822,50.214,50.357,50.41,50.575,50.552,50.703,50.471,50.913,50.111,50.728,50.818,50.435,50.613,50.57,51.028,50.725,50.59,50.647,50.667,51.134,50.848,50.587,50.774,50.806,50.793,50.892,50.715,50.634,50.738,51.374,51.15,51.024,50.819,50.506,50.601,50.797,51.014,50.759,51.249,50.776,50.729,51.213,50.619,51.05,51.009,51.13,50.809,51.984,51.105,50.801,50.885,50.55,51.226,50.756,50.806,50.778,50.803,50.681,50.89,50.773,50.542,51.208,51.059,51.239,51.157,50.963,51.321,50.903,51.05,50.843,50.943,50.683,50.911,51.021,51.161,51.38,51.376,52.013,52.024,51.692,51.467,51.496,51.164,51.232,51.183,51.467,51.852,52.089,51.586,51.702,51.619,52.56,51.754,52.062,52.095,52.026,51.984,51.467,51.994,51.712,51.793,51.616,51.422,51.472,51.123,51.819,51.691,51.449,51.901,51.401,51.739,51.835,51.742,51.814,51.932,52.005,51.864,52,51.944,51.892,51.702,51.505,51.341,51.299,51.039,51.28,51.805,52.438,51.743,52.029,52.279,51.983,52.373,52.328,52.549,52.031,52.554,52.921,53.186,52.757,53.033,52.933
F08,X48,,1,49.42,49.298,49.547,49.902,50.266,50.134,50.531,50.526,50.469,50.904,50.792,51.312,51.04,51.082,51.021,50.818,50.808,50.753,51.189,50.808,51.195,51.082,51.174,50.956,51.249,51.137,51.349,51.263,51.336,51.382,50.828,51.171,51.15,51.283,51.064,50.483,50.187,50.296,50.277,50.793,50.358,50.286,49.965,50.714,50.445,50.325,50.071,50.319,50.267,50.477,50.52,50.125,50.325,50.255,50.954,49.948,50.39,49.98,50.17,50.289,50.459,50.332,50.716,50.301,50.56,50.163,50.233,50.493,50.442,50.598,50.515,50.541,50.428,50.334,50.442,50.824,50.655,50.363,50.791,50.271,50.698,51.113,50.621,50.387,50.475,50.697,50.62,50.756,50.586,50.737,50.424,50.606,50.696,50.83,50.7,50.453,50.658,50.658,50.519,50.729,50.54,51.085,51.118,51.329,50.88,50.353,51.078,50.691,50.803,50.4,50.961,50.79,50.664,50.934,50.619,50.774,50.359,51.062,50.837,51.329,50.575,50.657,50.67,50.831,50.909,51.586,51.291,50.958,50.836,51.003,51.005,50.867,50.976,51.481,50.942,51.257,51.285,50.827,50.689,51.255,51.256,51.207,50.919,51.496,51.492,51.986,52.082,51.655,52.137,51.749,51.749,51.654,52.292,52.035,52.143,52.474,51.904,52.548,52.612,51.813,51.931,52.063,52.47,52.549,51.966,52.469,52.285,52.256,52.265,51.989,52.538,52.144,51.951,53.062,52.594,52.173,52.449,52.51,52.517,52.107,52.246,52.292,51.769,52.534,52.755,52.636,52.4,52.229,52.745,52.483,52.286,52.582,52.452,52.477,52.147,52.343,52.456,52.608,52.321,52.827,52.765,52.696,52.846,52.407,52.405,52.516,52.201,52.911,52.505,52.546,52.322,52.644,52.092,52.519,52.57,52.495,52.563,53.164,52.459,52.628,52.548,52.719,52.802,52.611,52.483,52.576,52.771,53.136,53.004,52.728,52.683,52.887,52.708,52.528,53.13,53.057,53.27,52.5,52.834,52.808,53.214,52.871,53.494,52.726,52.997,53.009,52.668,53.441,52.925,52.948,53.05,52.965,52.888,53.258,52.957,52.674,52.824,53.401,52.436,52.796,53.979,53.359,53.173,52.68,52.617,53.212,53.514,52.768
A01,X1,,Cal.Biomass[OD600 [-]]:FS=1,7.073,7.051,7.041,7.057,7.096,7.077,7.083,7.096,7.125,7.142,7.176,7.199,7.235,7.249,7.298,7.335,7.372,7.396,7.434,7.471,7.548,7.576,7.613,7.677,7.717,7.741,7.802,7.844,7.905,7.969,7.991,8.079,8.128,8.216,8.249,8.256,8.338,8.424,8.492,8.595,8.662,8.677,8.814,8.868,8.952,9.105,9.165,9.259,9.281,9.419,9.612,9.642,9.779,9.927,9.982,10.114,10.247,10.366,10.45,10.518,10.738,11.07,10.939,11.089,11.134,11.342,11.417,11.461,11.657,11.687,11.847,12.012,12.05,12.151,12.22,12.294,12.339,12.461,12.583,12.693,12.682,12.894,12.808,12.915,12.913,12.851,12.882,12.828,12.759,12.723,12.697,12.775,12.731,12.781,12.86,12.85,12.865,12.949,12.997,13.007,13.038,13.04,13.073,13.079,13.156,13.019,13.083,13.053,13.074,13.06,13.002,13.05,13.055,13.116,13.086,13.094,13.173,13.078,13.168,13.207,13.231,13.142,13.239,13.26,13.224,13.276,13.274,13.3,13.293,13.318,13.316,13.342,13.363,13.396,13.387,13.363,13.392,13.415,13.394,13.461,13.532,13.466,13.474,13.518,13.523,13.558,13.561,13.531,13.62,13.608,13.565,13.596,13.636,13.654,13.617,13.686,13.642,13.691,13.717,13.692,13.743,13.777,13.741,13.759,13.821,13.845,13.871,13.826,13.859,13.89,13.926,13.867,13.884,13.985,13.953,13.983,13.956,13.975,14.076,14.034,14.062,14.128,14.084,14.096,14.156,14.113,14.145,14.156,14.166,14.195,14.191,14.189,14.223,14.271,14.248,14.302,14.307,14.343,14.342,14.336,14.373,14.337,14.395,14.392,14.408,14.434,14.46,14.497,14.477,14.487,14.518,14.516,14.517,14.533,14.56,14.562,14.586,14.585,14.595,14.569,14.622,14.566,14.609,14.608,14.615,14.628,14.686,14.627,14.62,14.65,14.626,14.586,14.584,14.518,14.543,14.535,14.454,14.49,14.386,14.36,14.37,14.361,14.313,14.331,14.262,14.286,14.238,14.254,14.247,14.185,14.199,14.188,14.194,14.191,14.215,14.237,14.249,14.224,14.231,14.237,14.218,14.246,14.277,14.28,14.267,14.271,14.295,14.261
A02,X2,,Cal.Biomass[OD600 [-]]:FS=1,6.983,6.991,6.966,6.982,6.993,7.003,7.03,7.031,7.074,7.099,7.145,7.17,7.185,7.23,7.283,7.326,7.357,7.405,7.444,7.506,7.578,7.623,7.673,7.741,7.793,7.89,7.914,7.992,8.131,8.201,8.282,8.401,8.5,8.635,8.684,8.87,9.008,9.184,9.297,9.474,9.609,9.809,9.959,10.245,10.347,10.593,10.832,10.983,11.379,11.537,11.818,12.219,12.377,12.653,12.886,13.419,13.773,14.251,14.446,14.938,15.202,15.573,15.794,15.865,15.938,16.057,15.957,15.925,15.813,15.839,15.919,15.927,15.981,16.121,16.21,16.475,16.482,16.516,16.511,16.573,16.551,16.529,16.619,16.588,16.646,16.641,16.613,16.628,16.688,16.696,16.731,16.769,16.696,16.786,16.819,16.795,16.961,16.969,16.961,17.094,17.125,17.156,17.272,17.256,17.297,17.339,17.358,17.361,17.364,17.341,17.299,17.353,17.371,17.412,17.345,17.301,17.392,17.294,17.464,17.41,17.393,17.453,17.438,17.561,17.462,17.607,17.529,17.662,17.423,17.518,17.593,17.738,17.54,17.491,17.672,17.743,17.687,17.743,17.684,17.681,17.494,17.558,17.525,17.463,17.439,17.314,17.265,17.345,17.33,17.233,17.35,17.411,17.545,17.627,17.652,17.769,17.747,17.889,17.801,17.853,17.911,17.867,17.902,17.879,17.889,17.931,17.965,17.988,18.133,18.147,18.143,18.087,18.053,18.119,18.108,18.194,18.012,18.137,18.124,17.978,18.167,18.168,18.183,18.082,18.096,18.161,18.144,18.079,18.211,18.221,18.051,18.051,18.229,18.123,18.081,18.159,18.103,18.066,18.095,18.042,18.116,18.164,18.124,18.29,18.118,18.062,18.098,18.113,18.168,18.139,18.11,18.177,18.169,18.079,18.137,18.185,18.122,18.136,18.022,18.108,18.083,18.156,18.136,18.17,18.155,18.088,18.095,18.182,18.061,18.075,18.081,18.179,18.034,18.101,18.108,18.056,18.126,18.037,18.157,18.079,18.076,18.108,18.065,18.136,18.132,18.19,18.085,18.167,18.163,18.045,18.035,18.084,18.055,18.08,18.114,18.129,18.115,18.148,18.155,18.081,17.997,18.175,18.125,18.013,18.146,18.232,18.173,18.114
A03,X3,,Cal.Biomass[OD600 [-]]:FS=1,7.057,7.049,7.046,7.049,7.053,7.06,7.06,7.069,7.072,7.084,7.093,7.099,7.117,7.115,7.14,7.156,7.167,7.18,7.209,7.215,7.229,7.265,7.265,7.292,7.325,7.342,7.376,7.389,7.405,7.443,7.46,7.497,7.526,7.542,7.571,7.567,7.615,7.63,7.674,7.691,7.736,7.77,7.777,7.811,7.853,7.902,7.939,7.984,8.016,8.064,8.157,8.2,8.265,8.295,8.373,8.429,8.559,8.617,8.667,8.754,8.836,8.943,8.982,9.072,9.153,9.264,9.412,9.532,9.639,9.724,9.737,9.984,10.056,10.062,10.148,10.386,10.466,10.631,10.653,10.693,10.822,10.934,11.127,11.319,11.246,11.491,11.555,11.664,11.777,11.77,12.022,12.04,12.082,12.286,12.322,12.47,12.483,12.56,12.625,12.62,12.691,12.832,12.805,12.723,12.642,12.579,12.588,12.558,12.496,12.483,12.556,12.582,12.71,12.611,12.687,12.745,12.83,12.781,12.835,12.896,12.871,12.89,12.907,12.936,12.915,12.891,12.938,12.947,12.989,12.985,13.061,13.028,13.079,13.059,13.018,13.146,13.073,13.093,13.155,13.115,13.168,13.171,13.225,13.249,13.233,13.214,13.2,13.285,13.254,13.302,13.257,13.279,13.308,13.323,13.293,13.37,13.354,13.342,13.341,13.402,13.369,13.382,13.419,13.498,13.445,13.451,13.475,13.483,13.496,13.54,13.544,13.523,13.552,13.548,13.572,13.595,13.622,13.578,13.619,13.621,13.673,13.694,13.687,13.706,13.695,13.752,13.727,13.781,13.791,13.806,13.826,13.816,13.855,13.875,13.886,13.86,13.886,13.915,13.946,13.955,13.921,13.977,13.977,14.04,14.032,14.053,14.039,14.076,14.107,14.046,14.078,14.131,14.149,14.192,14.212,14.211,14.165,14.198,14.252,14.2,14.271,14.278,14.248,14.302,14.311,14.317,14.295,14.317,14.381,14.359,14.384,14.394,14.35,14.4,14.415,14.41,14.403,14.421,14.451,14.477,14.429,14.426,14.432,14.398,14.437,14.433,14.397,14.406,14.366,14.351,14.337,14.307,14.258,14.256,14.214,14.178,14.172,14.114,14.097,14.058,14.05,13.996,14.006,14.021,13.958,13.93,13.929,13.948
A04,X4,,Cal.Biomass[OD600 [-]]:FS=1,7.654,7.7,7.7,7.722,7.755,7.76,7.799,7.814,7.848,7.845,7.886,7.963,7.942,7.991,8.071,8.059,8.106,8.151,8.182,8.274,8.289,8.386,8.432,8.468,8.527,8.585,8.613,8.784,8.8,8.884,8.96,9.057,9.132,9.24,9.364,9.496,9.661,9.79,9.921,10.033,10.22,10.454,10.547,10.787,10.991,11.102,11.393,11.608,11.778,12.07,12.379,12.61,12.909,13.305,13.436,13.869,14.103,14.604,14.995,15.241,15.421,16.084,16.158,16.418,16.502,16.655,16.538,16.548,16.698,16.484,16.522,16.614,16.56,16.702,16.861,16.895,17.006,17.1,17.143,17.179,17.164,17.164,17.309,17.346,17.233,17.336,17.318,17.297,17.356,17.38,17.377,17.478,17.537,17.645,17.645,17.625,17.768,17.855,17.892,17.872,17.993,18.027,18.096,17.994,18.094,18.106,18.079,18.112,18.133,18.066,18.116,18.149,18.073,18.142,18.116,18.13,18.146,18.015,18.166,18.224,18.097,18.2,18.058,18.228,18.194,18.15,18.231,18.153,18.305,18.32,18.361,18.292,18.303,18.242,18.372,18.428,18.45,18.439,18.538,18.412,18.473,18.482,18.474,18.442,18.498,18.396,18.396,18.596,18.466,18.506,18.467,18.541,18.464,18.511,18.504,18.59,18.52,18.514,18.628,18.545,18.66,18.712,18.676,18.651,18.691,18.71,18.616,18.688,18.666,18.742,18.732,18.676,18.667,18.765,18.772,18.812,18.8,18.884,18.871,18.924,18.798,18.886,18.878,18.925,18.787,18.946,18.945,18.852,18.894,18.878,18.852,18.831,18.892,18.883,18.848,18.851,18.822,18.797,18.839,18.904,18.795,18.889,18.868,18.855,18.834,18.832,18.734,18.864,18.867,18.784,18.796,18.729,18.757,18.845,18.868,18.793,18.83,18.812,18.798,18.805,18.818,18.827,18.794,18.652,18.793,18.695,18.738,18.791,18.758,18.758,18.761,18.809,18.623,18.735,18.727,18.692,18.614,18.709,18.714,18.795,18.688,18.771,18.791,18.747,18.731,18.711,18.696,18.805,18.693,18.789,18.721,18.735,18.645,18.778,18.714,18.759,18.851,18.753,18.694,18.768,18.767,18.764,18.837,18.883,18.775,18.817,18.831,18.755
A05,X5,,Cal.Biomass[OD600 [-]]:FS=1,7.396,7.373,7.373,7.361,7.465,7.446,7.448,7.462,7.425,7.476,7.443,7.502,7.474,7.588,7.471,7.629,7.622,7.581,7.643,7.704,7.833,7.66,7.728,7.774,7.932,7.663,7.963,7.857,8.039,7.981,7.915,7.911,8.152,8.155,8.18,7.921,8.133,8.259,8.074,7.918,8.372,8.258,8.219,8.067,8.159,8.182,8.086,8.206,8.255,8.607,8.346,8.06,8.432,8.38,8.348,8.294,8.527,8.6,8.543,8.527,8.822,8.452,8.596,8.603,8.883,8.847,8.757,8.773,8.951,9.238,8.798,9.065,9.098,8.741,8.983,8.962,9.523,9.039,9.18,9.384,9.231,9.928,9.251,9.833,9.767,9.436,10.421,10.426,9.895,10.04,9.929,10.586,10.357,11.022,11.194,10.266,11.022,11.609,11.158,11.682,11.889,10.894,11.69,11.566,10.256,10.645,11.397,11.184,11.123,11.664,11.097,11.393,10.805,11.775,11.6,11.779,13.018,12.721,12.271,12.725,11.772,12.909,12.519,11.847,12.801,13.483,13.274,13.008,13.04,13.19,13.869,13.524,13.269,13.694,14.112,14.283,14.115,13.713,13.767,13.405,13.966,14.084,13.791,13.927,14.202,14.319,14.043,14.344,14.175,14.203,14.498,14.276,14.499,14.703,14.506,14.797,14.932,14.958,15.374,15.622,15.566,15.464,15.714,15.615,15.652,16.004,15.745,15.695,15.766,15.533,15.508,15.658,15.46,15.349,15.605,15.767,16.011,15.792,15.87,15.817,15.835,15.893,15.961,16.179,16.078,16.378,16.119,16.387,16.34,16.331,16.325,16.266,16.54,16.206,16.579,16.349,16.548,16.66,16.58,16.39,16.592,16.702,16.713,16.793,16.647,16.615,16.853,17.136,16.842,16.889,16.962,17.064,17.185,17.154,17.039,17.214,17.064,16.993,17.043,17.109,17.285,17.223,17.326,17.248,17.388,17.29,17.336,17.475,17.382,17.587,17.597,17.664,17.786,17.605,17.64,17.852,18.008,17.639,17.933,17.92,18.034,17.987,18.011,18.053,18.059,18.241,18.109,18.2,18.276,18.573,18.503,18.4,18.715,18.632,18.756,18.719,18.828,18.95,18.935,18.909,18.873,18.923,18.922,18.898,19.097,19.039,19.227,19.129
A06,X6,,Cal.Biomass[OD600 [-]]:FS=1,6.613,6.624,6.638,6.652,6.669,6.656,6.69,6.701,6.746,6.753,6.812,6.843,6.889,6.917,6.988,7.036,7.097,7.17,7.22,7.279,7.319,7.426,7.488,7.546,7.595,7.686,7.738,7.838,7.916,7.968,8.064,8.111,8.187,8.292,8.406,8.545,8.601,8.68,8.795,8.809,8.902,8.945,9.069,9.119,9.333,9.368,9.527,9.564,9.766,9.932,9.9,9.985,10.5,10.667,11.071,11.506,12.045,12.056,12.403,12.716,12.956,12.998,13.372,13.734,13.943,14.136,14.385,14.49,14.545,14.455,14.23,13.992,13.819,13.669,13.621,13.627,13.538,13.488,13.555,13.491,13.536,13.548,13.507,13.549,13.511,13.645,13.658,13.63,13.716,13.606,13.746,13.653,13.705,13.695,13.765,13.72,13.725,13.754,13.806,13.746,13.757,13.686,13.764,13.843,13.856,13.768,13.809,13.886,13.939,13.804,13.885,13.817,13.944,13.935,13.974,13.939,13.955,13.815,13.895,13.923,14.019,13.994,14.094,14.05,14.053,14.048,14.14,14.14,14.093,14.153,14.185,14.101,14.214,14.15,14.175,14.249,14.204,14.245,14.257,14.287,14.325,14.319,14.325,14.301,14.299,14.216,14.307,14.285,14.246,14.302,14.22,14.365,14.519,14.561,14.685,14.732,14.78,14.949,14.933,15.098,15.105,15.175,15.198,15.219,15.287,15.292,15.408,15.461,15.492,15.591,15.579,15.665,15.665,15.707,15.721,15.816,15.845,15.868,15.866,15.873,16.08,15.983,16.063,16.129,16.137,16.202,16.204,16.23,16.152,16.213,16.233,16.285,16.354,16.381,16.426,16.321,16.335,16.444,16.469,16.492,16.447,16.461,16.494,16.456,16.562,16.547,16.563,16.511,16.671,16.575,16.591,16.741,16.718,16.623,16.621,16.679,16.787,16.749,16.782,16.791,16.85,16.806,16.833,16.875,16.911,17.051,16.93,16.922,16.993,16.967,16.961,17.096,17.112,17.126,17.061,17.13,17.148,17.206,17.198,17.201,17.203,17.21,17.271,17.34,17.398,17.435,17.409,17.518,17.471,17.544,17.626,17.615,17.577,17.652,17.679,17.803,17.783,17.771,17.878,17.81,17.929,17.83,17.891,17.935,18.015,18.039,18.077,18.08
A07,X7,,Cal.Biomass[OD600 [-]]:FS=1,6.903,6.983,7.257,7.148,7.136,6.945,7.156,7.035,7.027,7.187,7.107,7.039,7.122,6.833,7.189,6.962,6.978,6.851,6.783,6.873,6.785,6.843,6.828,6.775,6.856,6.947,6.876,6.959,6.969,6.859,6.912,6.94,6.862,6.765,6.755,6.707,6.667,6.637,6.634,6.601,6.607,6.57,6.557,6.524,6.518,6.494,6.513,6.507,6.518,6.513,6.494,6.487,6.492,6.505,6.501,6.507,6.498,6.501,6.5,6.495,6.498,6.489,6.476,6.477,6.48,6.471,6.479,6.479,6.477,6.474,6.48,6.475,6.478,6.471,6.477,6.469,6.472,6.476,6.462,6.459,6.461,6.459,6.467,6.468,6.466,6.464,6.458,6.463,6.472,6.461,6.466,6.456,6.469,6.465,6.469,6.465,6.46,6.472,6.465,6.468,6.462,6.459,6.474,6.465,6.468,6.462,6.462,6.468,6.462,6.465,6.463,6.468,6.458,6.465,6.468,6.462,6.474,6.463,6.459,6.472,6.458,6.46,6.46,6.469,6.469,6.464,6.463,6.469,6.463,6.47,6.471,6.463,6.469,6.468,6.464,6.464,6.464,6.462,6.453,6.465,6.462,6.47,6.475,6.468,6.474,6.463,6.472,6.465,6.465,6.462,6.47,6.469,6.466,6.468,6.466,6.465,6.459,6.463,6.462,6.476,6.491,6.484,6.492,6.498,6.482,6.482,6.48,6.476,6.483,6.474,6.476,6.482,6.466,6.475,6.463,6.494,6.49,6.5,6.471,6.48,6.483,6.514,6.499,6.476,6.477,6.486,6.474,6.472,6.465,6.46,6.462,6.474,6.47,6.481,6.502,6.523,6.518,6.512,6.508,6.501,6.492,6.486,6.488,6.479,6.472,6.464,6.479,6.496,6.515,6.514,6.502,6.497,6.504,6.522,6.522,6.501,6.498,6.498,6.486,6.489,6.483,6.487,6.479,6.479,6.486,6.485,6.486,6.484,6.473,6.471,6.483,6.465,6.48,6.474,6.475,6.468,6.471,6.473,6.47,6.473,6.479,6.475,6.469,6.472,6.479,6.473,6.478,6.499,6.495,6.492,6.532,6.551,6.546,6.522,6.525,6.511,6.509,6.49,6.489,6.479,6.484,6.472,6.478,6.479,6.465,6.488,6.488,6.479
A08,X8,,Cal.Biomass[OD600 [-]]:FS=1,6.361,6.375,6.382,6.37,6.386,6.386,6.397,6.387,6.393,6.383,6.393,6.395,6.406,6.396,6.4,6.401,6.389,6.403,6.402,6.398,6.392,6.418,6.414,6.397,6.397,6.397,6.397,6.415,6.4,6.388,6.391,6.409,6.409,6.395,6.418,6.412,6.402,6.403,6.41,6.4,6.42,6.393,6.412,6.415,6.411,6.393,6.399,6.421,6.423,6.403,6.424,6.408,6.405,6.396,6.41,6.411,6.396,6.405,6.411,6.399,6.409,6.41,6.402,6.399,6.404,6.402,6.411,6.404,6.414,6.406,6.416,6.409,6.402,6.416,6.423,6.407,6.418,6.408,6.416,6.407,6.407,6.402,6.411,6.41,6.418,6.423,6.408,6.402,6.41,6.415,6.428,6.413,6.415,6.419,6.425,6.416,6.416,6.432,6.422,6.41,6.426,6.416,6.416,6.417,6.425,6.413,6.414,6.412,6.442,6.426,6.424,6.404,6.426,6.422,6.423,6.438,6.416,6.435,6.42,6.421,6.418,6.419,6.42,6.409,6.426,6.435,6.445,6.438,6.424,6.447,6.423,6.428,6.411,6.431,6.428,6.429,6.422,6.419,6.419,6.427,6.421,6.441,6.418,6.435,6.426,6.428,6.439,6.435,6.429,6.423,6.435,6.432,6.422,6.422,6.424,6.441,6.436,6.426,6.429,6.436,6.454,6.441,6.442,6.462,6.446,6.438,6.451,6.443,6.449,6.443,6.429,6.44,6.439,6.447,6.452,6.441,6.44,6.452,6.453,6.445,6.451,6.448,6.462,6.441,6.435,6.435,6.454,6.457,6.44,6.434,6.44,6.442,6.445,6.448,6.45,6.447,6.434,6.422,6.442,6.457,6.443,6.443,6.442,6.445,6.448,6.451,6.442,6.454,6.457,6.443,6.473,6.448,6.466,6.465,6.453,6.439,6.442,6.445,6.452,6.465,6.465,6.464,6.465,6.458,6.44,6.455,6.453,6.462,6.442,6.443,6.462,6.461,6.459,6.452,6.466,6.451,6.46,6.467,6.481,6.453,6.449,6.482,6.469,6.457,6.473,6.455,6.478,6.455,6.483,6.471,6.459,6.468,6.448,6.474,6.453,6.481,6.478,6.459,6.454,6.479,6.479,6.461,6.47,6.472,6.463,6.471,6.47,6.472
