# Supplementary Dataset S11. This tab delmited table contains the results of the eQTL linkage results of the 6464 sense traits at 5% FDR.
#
# This tab delmited table is the results of the eQTL linkage results
# of the 6464 sense traits at 5% FDR. Each row correspond
# to one linkage between a expression trait (gene)its eQTL. When 
# a trait was linked to more several locus correlated more than 0.8
# we considered that it corresponded to a single QTL, which position
# could not be determined. they were regroup.
# Here each row correpond to a group and the different location 
# of the grouped QTL are separated with coma. 
#
# First field is the name of sense trait (target)
# Next 3 fields are the coordinate of the QTL as a
#  genomic interval. Note that each QTL is considered
#  as spanning in between the first non linked variant.
# next field is an indicater of whether the linkage correspong to 
#  a cis or a trans linakge.
# Next field indicate the strongest candiate regulator as this locus
#  predicted unsing correlation between the trait and the regulator
#  candidate. "NA" correspond to missing values.
# Next indicate wether the putative 
#  regulator is a coding or non-coding genes
#  "NA" correspond to missing values.
# 
# if you have questions mail: 
# mathieu.clement-ziza(at)uni-koeln.de
# andreas.beyer(at)uni-koeln.de
# j.bahler(at)ucl.ac.uk
#
target	chromosome	start	end	qtl_type	putative_regulator	regulator_type
SPAC24C9.08	chromosome_1	2810876	2950891	cis	SPAC24C9.08	NA
SPAC24C9.11	chromosome_1	521845	535185	trans	SPAC2F7.02c	coding
SPAC24C9.13c	chromosome_1	2937800	2955088	cis	SPAC24C9.13c	NA
SPAC24C9.15c	chromosome_1	2937800	3326503	cis	SPAC24C9.15c	NA
SPAC24H6.05	chromosome_3	2087770	2104480	trans	SPCC576.05	coding
SPAC24H6.08	chromosome_3	655654	681957	trans	SPNCRNA.469	non_coding
SPAC24H6.09	chromosome_3	2087770	2104480	trans	SPCC576.05	coding
SPAC24H6.10c	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC25A8.03c	chromosome_3	2084276	2123837	trans	SPCC576.14	coding
SPAC25B8.06c	chromosome_3	2087770	2119802	trans	SPNCRNA.1264	non_coding
SPAC25B8.10	chromosome_3	2087770	2104480	trans	SPCC576.14	coding
SPAC25B8.12c	chromosome_1	3554341	3745990	trans	SPAC17G6.12	coding
SPAC25B8.15c	chromosome_1	4184603	4611044	cis	SPAC25B8.15c	NA
SPAC25B8.17	chromosome_1	4467160	4611044	cis	SPAC25B8.17	NA
SPAC25B8.18	chromosome_1	2531296	2539126	trans	SPAC25H1.09	coding
SPAC25B8.20	chromosome_3	2078298	2093353	trans	SPCC576.02	coding
SPAC25G10.01	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	cis	SPAC25G10.01	NA
SPAC25G10.07c	chromosome_3	1555043	1592069	trans	SPCC162.08c	coding
SPAC25H1.02	chromosome_1	2526720	2539126	cis	SPAC25H1.02	NA
SPAC25H1.05	chromosome_3	657594	681957	trans	SPNCRNA.469	non_coding
SPAC25H1.06	chromosome_1	2541698	2547852	cis	SPAC25H1.06	NA
SPAC25H1.09	chromosome_1	2810876	2813185	trans	SPAC1B2.06	coding
SPAC25H1.09	chromosome_3	2101294	2104480	trans	SPCC576.14	coding
SPAC26A3.01	chromosome_1	3440649	3557103	cis	SPAC26A3.01	NA
SPAC26A3.02	chromosome_1	3809960	3926065	cis	SPAC26A3.02	NA
SPAC26A3.03c	chromosome_1	3723871	3745990	cis	SPAC26A3.03c	NA
SPAC26A3.06	chromosome_1	382788	461925	trans	SPAC1751.04	coding
SPAC26A3.08	chromosome_1	1075590	1077838	trans	SPAC1A6.04c	coding
SPAC26A3.09c	chromosome_3	2087770	2123837	trans	SPNCRNA.1263	non_coding
SPAC26A3.11	chromosome_3	2101294	2119802	trans	SPCC126.02c	coding
SPAC26A3.14c	chromosome_3	2084276	2104480	trans	SPCC576.14	coding
SPAC26F1.01	chromosome_1	5153377	5202829	cis	SPAC26F1.01	NA
SPAC26F1.04c	chromosome_1	2531296	2539126	trans	SPAC25H1.06	coding
SPAC26F1.09	chromosome_2	1455394	1460842	trans	SPBC32H8.03	coding
SPAC26F1.10c	chromosome_1	3809960	3926065	trans	SPAC323.07c	coding
SPAC26F1.11	chromosome_1,chromosome_1	2665053,4602196	3326503,4949138	trans	SPNCRNA.1018	non_coding
SPAC26F1.12c	chromosome_3	2084276	2123837	trans	SPCC576.13	coding
SPAC26H5.07c	chromosome_1	3315647	3456618	trans	SPAC3H5.04	coding
SPAC26H5.08c	chromosome_3	631380	658266	trans	SPNCRNA.1150	non_coding
SPAC26H5.09c	chromosome_2	3827447	3868726	trans	SPBC23E6.10c	coding
SPAC26H5.10c	chromosome_1	3440649	3557103	trans	SPAC1B1.02c	coding
SPAC26H5.12	chromosome_3	2101294	2119802	trans	SPNCRNA.1263	non_coding
SPAC26H5.13c	chromosome_3	2087770	2123837	trans	SPCC126.04c	coding
SPAC27D7.03c	chromosome_1,chromosome_1	2665053,4602196	3318540,4949138	cis	SPAC27D7.03c	NA
SPAC27D7.14c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC27E2.06c	chromosome_3	2084276	2093353	trans	SPCC576.05	coding
SPAC27F1.05c	chromosome_1,chromosome_1	2665053,4602196	2950891,4949138	cis	SPAC27F1.05c	NA
SPAC27F1.05c	chromosome_3	2078298	2119802	trans	SPNCRNA.1264	non_coding
SPAC27F1.08	chromosome_1	3315647	3557103	cis	SPAC27F1.08	NA
SPAC29A4.12c	chromosome_3	2087770	2123837	trans	SPCC576.16c	coding
SPAC29A4.18	chromosome_3	2101294	2119802	trans	SPCC576.13	coding
SPAC29B12.02c	chromosome_1	3809960	3920943	trans	SPAC1071.05	coding
SPAC29B12.06c	chromosome_2	1685885	1829071	trans	SPBC19C2.07	coding
SPAC29B12.13	chromosome_1	3315647	3326503	trans	SPAPB1E7.12	coding
SPAC29B12.14c	chromosome_1	3030626	3034677	trans	SPNCRNA.88	non_coding
SPAC29E6.01	chromosome_1	2893934	2905076	cis	SPAC29E6.01	NA
SPAC29E6.04	chromosome_3	2084276	2119802	trans	SPCC576.13	coding
SPAC29E6.06c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC29E6.10c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC2C4.03c	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC2C4.08	chromosome_1	3440649	3557103	trans	SPAC1B1.02c	coding
SPAC2C4.11c	chromosome_1	382788	455460	trans	SPAC1751.04	coding
SPAC2C4.17c	chromosome_1	2925637	3318540	cis	SPAC2C4.17c	NA
SPAC2E12.05	chromosome_1,chromosome_1	2665053,4323910	2926804,4949138	trans	SPNCRNA.54	non_coding
SPAC2E1P3.01	chromosome_1,chromosome_1	2665053,4602196	2950891,4994520	cis	SPAC2E1P3.01	NA
SPAC2E1P3.05c	chromosome_3	2117330	2123837	trans	SPCC126.04c	coding
SPAC2E1P5.01c	chromosome_1	3809960	3926065	cis	SPAC2E1P5.01c	NA
SPAC2E1P5.04c	chromosome_2	2813594	2870926	trans	SPBC19C7.07c	coding
SPAC2F3.08	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans	SPNCRNA.846	non_coding
SPAC2F3.11	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC2F3.18c	chromosome_1	3926065	4006684	cis	SPAC2F3.18c	NA
SPAC2F7.02c	chromosome_3	2087770	2123837	trans	SPCC126.04c	coding
SPAC2F7.06c	chromosome_1	2810876	2905076	trans	SPAC3F10.16c	coding
SPAC2F7.06c	chromosome_3	2087770	2123837	trans	SPNCRNA.1264	non_coding
SPAC2F7.16c	chromosome_1	2893934	2950891	trans	SPAC513.05	coding
SPAC2G11.04	chromosome_1	3321289	3456618	trans	SPAC3H5.13	coding
SPAC2G11.05c	chromosome_3	2087770	2104480	trans	SPCC576.07	coding
SPAC2G11.09	chromosome_1	3809960	3926065	trans	SPAC323.03c	coding
SPAC2G11.10c	chromosome_3	2084276	2104480	trans	SPCC576.13	coding
SPAC2G11.13	chromosome_1	3315647	3557103	trans	SPAC1B1.02c	coding
SPAC2H10.01	chromosome_1	3809960	3926065	trans	SPAC1071.06	coding
SPAC2H10.02c	chromosome_1	4135582	4141458	trans	SPAC26H5.08c	coding
SPAC2H10.04	chromosome_1	3443342	3556754	trans	SPAC1B1.02c	coding
SPAC30D11.03	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC30D11.05	chromosome_1	5403412	5448529	trans	SPAC29B12.02c	coding
SPAC30D11.06c	chromosome_1	3315647	3456618	trans	SPAP32A8.03c	coding
SPAC31A2.03	chromosome_3	2084276	2093353	trans	SPCC576.03c	coding
SPAC31A2.11c	chromosome_3	2087770	2119802	trans	SPCC576.13	coding
SPAC31A2.16	chromosome_3	2102509	2119802	trans	SPNCRNA.1263	non_coding
SPAC31F12.01	chromosome_3	2101294	2119802	trans	SPNCRNA.1263	non_coding
SPAC31G5.02	chromosome_3	657594	681957	trans	SPNCRNA.469	non_coding
SPAC31G5.05c	chromosome_1	4323910	4366536	cis	SPAC31G5.05c	NA
SPAC31G5.07	chromosome_2	2803880	2813594	trans	SPNCRNA.1550	non_coding
SPAC31G5.08	chromosome_1	2925637	3307217	cis	SPAC31G5.08	NA
SPAC31G5.09c	chromosome_1	2937800	3326503	cis	SPAC31G5.09c	NA
SPAC31G5.11	chromosome_1	2937800	3326503	cis	SPAC31G5.11	NA
SPAC31G5.12c	chromosome_3	2084276	2093353	trans	SPCC576.06c	coding
SPAC31G5.18c	chromosome_1	3321289	3456618	cis	SPAC31G5.18c	NA
SPAC31G5.18c	chromosome_1	4135582	4141458	trans	SPNCRNA.963	non_coding
SPAC323.04	chromosome_3	2222419	2264486	trans	SPCC1919.08c	coding
SPAC323.07c	chromosome_1	2937800	3318540	cis	SPAC323.07c	NA
SPAC323.08	chromosome_1,chromosome_1	5153377,5403412	5200800,5448529	trans	SPAC29B12.02c	coding
SPAC328.03	chromosome_1	4288609	4467160	cis	SPAC328.03	NA
SPAC343.10	chromosome_3	2102509	2119802	trans	SPCC126.02c	coding
SPAC343.12	chromosome_1	3554341	3919690	trans	SPAC4H3.08	coding
SPAC343.15	chromosome_1	1741020	1743127	cis	SPAC343.15	NA
SPAC3A11.03	chromosome_1	3315647	3326503	cis	SPAC3A11.03	NA
SPAC3A11.04	chromosome_1	3315647	3456618	cis	SPAC3A11.04	NA
SPAC3A11.07	chromosome_1	3443342	3919690	cis	SPAC3A11.07	NA
SPAC3A11.07	chromosome_3	2087770	2104480	trans	SPCC576.13	coding
SPAC3A11.11c	chromosome_3	2101294	2123837	trans	SPNCRNA.1264	non_coding
SPAC3A12.12	chromosome_1	3919690	3926065	trans	SPAC323.07c	coding
SPAC3A12.15	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC3A12.16c	chromosome_3	2084276	2123837	trans	SPCC576.14	coding
SPAC3A12.17c	chromosome_1	3809960	4006684	trans	SPNCRNA.94	non_coding
SPAC3A12.18	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC3C7.01c	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC3C7.05c	chromosome_1,chromosome_1	2665053,4463093	2926804,4471094	trans	SPAC513.07	coding
SPAC3C7.08c	chromosome_2	852801	903483	trans	SPBC713.04c	coding
SPAC3C7.08c	chromosome_3	2087770	2123837	trans	SPNCRNA.1265	non_coding
SPAC3C7.09	chromosome_1	3321289	3456618	trans	SPAC2E1P5.02c	coding
SPAC3F10.05c	chromosome_3	2087770	2104480	trans	SPCC576.07	coding
SPAC3F10.06c	chromosome_3	2087770	2119802	trans	SPNCRNA.1263	non_coding
SPAC3F10.13	chromosome_3	2294089	2308613	trans	SPCC965.10	coding
SPAC3F10.15c	chromosome_3	655654	681957	trans	SPCC16C4.19	coding
SPAC3F10.16c	chromosome_3	2084276	2123837	trans	SPCC126.04c	coding
SPAC3F10.19	chromosome_1	4962262	4967077	cis	SPAC3F10.19	NA
SPAC3G6.09c	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC3G6.11	chromosome_1	3315647	3456618	trans	SPAC3A11.14c	coding
SPAC3G9.01	chromosome_1	2950891	3318540	cis	SPAC3G9.01	NA
SPAC3G9.02	chromosome_1	3440649	3556754	cis	SPAC3G9.02	NA
SPAC3G9.05	chromosome_3	677725	707776	trans	SPCC16C4.12	coding
SPAC3G9.06	chromosome_3	2101294	2123837	trans	SPCC576.13	coding
SPAC3G9.07c	chromosome_3	2101294	2119802	trans	SPCC576.13	coding
SPAC3G9.08	chromosome_3	2101294	2119802	trans	SPCC576.13	coding
SPAC3G9.11c	chromosome_3	2117330	2125061	trans	SPNCRNA.1264	non_coding
SPAC3G9.13c	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	cis	SPAC3G9.13c	NA
SPAC3G9.14	chromosome_1	3440649	3920943	cis	SPAC3G9.14	NA
SPAC3G9.15c	chromosome_1	2893934	2905076	cis	SPAC3G9.15c	NA
SPAC3G9.17	chromosome_3	2102509	2123837	trans	SPCC576.14	coding
SPAC3H1.01c	chromosome_1	3443342	3556754	trans	SPAC16E8.07c	coding
SPAC3H1.03	chromosome_1	3315647	3456618	trans	SPAC8E11.10	coding
SPAC3H1.06c	chromosome_1	2397149	2428322	trans	SPAC6B12.02c	coding
SPAC3H1.10	chromosome_1	3443342	3991338	trans	SPAC2F3.18c	coding
SPAC3H1.11	chromosome_1	3315647	3557103	trans	SPAC1B1.02c	coding
SPAC3H5.06c	chromosome_3	2102509	2119802	trans	SPNCRNA.1263	non_coding
SPAC3H5.08c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC3H8.02	chromosome_3	2102509	2123837	trans	SPNCRNA.1263	non_coding
SPAC3H8.05c	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC3H8.07c	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC3H8.08c	chromosome_3	2101294	2104480	trans	SPCC576.13	coding
SPAC458.03	chromosome_1	3321289	3442884	cis	SPAC458.03	NA
SPAC458.04c	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC458.05	chromosome_1,chromosome_1	2810876,3315647	2813185,3326503	cis	SPAC458.05	NA
SPAC4A8.04	chromosome_3	2102509	2123837	trans	SPNCRNA.1264	non_coding
SPAC4A8.10	chromosome_1	3440649	3919690	trans	SPNCRNA.928	non_coding
SPAC4A8.10	chromosome_3	2084276	2104480	trans	SPCC576.13	coding
SPAC4A8.16c	chromosome_3	2102509	2119802	trans	SPCC576.16c	coding
SPAC4C5.04	chromosome_3	2084276	2123837	trans	SPCC576.14	coding
SPAC4D7.02c	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans	SPAPB8E5.03	coding
SPAC4D7.06c	chromosome_3	2101294	2123837	trans	SPCC126.02c	coding
SPAC4D7.08c	chromosome_3	2101294	2104480	trans	SPCC576.14	coding
SPAC4D7.10c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC4D7.13	chromosome_2	852801	903483	trans	SPBC713.08	coding
SPAC4D7.14	chromosome_3	2101294	2119802	trans	SPCC576.13	coding
SPAC4F10.07c	chromosome_1	382788	455460	trans	SPAC1751.04	coding
SPAC4F10.08	chromosome_1	2810876	2905076	cis	SPAC4F10.08	NA
SPAC4F10.10c	chromosome_3	657594	677595	trans	SPCC16C4.06c	coding
SPAC4F10.17	chromosome_3	2087770	2123837	trans	SPNCRNA.1265	non_coding
SPAC4F10.19c	chromosome_1	3321289	3442884	cis	SPAC4F10.19c	NA
SPAC4F10.20	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	cis	SPAC4F10.20	NA
SPAC4F10.22	chromosome_1,chromosome_1	2810876,4323910	2950891,4366536	cis	SPAC4F10.22	NA
SPAC4F8.15	chromosome_1	3440649	3557103	trans	SPAC1B1.02c	coding
SPAC4G8.05	chromosome_3	676403	681957	trans	SPNCRNA.469	non_coding
SPAC4G8.08	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC4G8.09	chromosome_1,chromosome_1	2661698,4602196	2926804,4949138	trans	SPAC20G4.02c	coding
SPAC4G8.11c	chromosome_3	2078298	2104480	trans	SPCC576.14	coding
SPAC4G8.12c	chromosome_1	3440649	3456618	trans	SPNCRNA.909	non_coding
SPAC4G8.13c	chromosome_3	2087770	2119802	trans	SPCC576.05	coding
SPAC4G9.05	chromosome_2	1306392	1314587	trans	SPNCRNA.346	non_coding
SPAC4G9.05	chromosome_3	2087770	2123837	trans	SPNCRNA.1264	non_coding
SPAC4G9.07	chromosome_1	2665053	2813185	trans	SPNCRNA.846	non_coding
SPAC4G9.07	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC4G9.17c	chromosome_3	2078298	2119802	trans	SPCC576.13	coding
SPAC4H3.03c	chromosome_3	2101294	2119802	trans	SPNCRNA.1264	non_coding
SPAC4H3.08	chromosome_1	3315647	3456618	cis	SPAC4H3.08	NA
SPAC4H3.11c	chromosome_1	3745734	3926065	cis	SPAC4H3.11c	NA
SPAC513.01c	chromosome_3	523918	563455	trans	SPCP31B10.03c	coding
SPAC513.02	chromosome_1	2925637	2950891	cis	SPAC513.02	NA
SPAC513.03	chromosome_1	3315647	3456618	cis	SPAC513.03	NA
SPAC513.06c	chromosome_1	2937800	3326503	cis	SPAC513.06c	NA
SPAC521.04c	chromosome_1	3440649	3557103	trans	SPAC1B1.02c	coding
SPAC56E4.02c	chromosome_1	4046551	4089310	trans	SPAC19G12.09	coding
SPAC56F8.02	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC56F8.04c	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC56F8.07	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC56F8.12	chromosome_3	2101294	2123837	trans	SPCC576.13	coding
SPAC57A10.06	chromosome_3	2087770	2104480	trans	SPCC576.11	coding
SPAC57A10.07	chromosome_1	3315647	3556754	trans	SPAC2E1P5.03	coding
SPAC57A10.08c	chromosome_1	3321289	3456618	trans	SPAC2E1P5.03	coding
SPAC57A10.09c	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC57A10.11c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC57A7.05	chromosome_3	2101294	2104480	trans	SPCC576.13	coding
SPAC57A7.12	chromosome_2	852801	903483	trans	SPBC36.08c	coding
SPAC57A7.13	chromosome_3	2084276	2104480	trans	SPCC576.14	coding
SPAC57A7.15c	chromosome_1	3315647	3456618	trans	SPAC2E1P5.03	coding
SPAC589.09	chromosome_1	3917561	3926238	cis	SPAC589.09	NA
SPAC589.11	chromosome_1	3321289	3557103	cis	SPAC589.11	NA
SPAC5D6.02c	chromosome_3	2087770	2119802	trans	SPCC576.13	coding
SPAC5H10.02c	chromosome_3	2101294	2119802	trans	SPCC576.13	coding
SPAC5H10.04	chromosome_1,chromosome_1	2665053,4602196	3326503,4949138	trans	SPNCRNA.1033	non_coding
SPAC5H10.04	chromosome_3	2084276	2123837	trans	SPNCRNA.1264	non_coding
SPAC5H10.05c	chromosome_3	2087770	2101881	trans	SPCC576.07	coding
SPAC5H10.06c	chromosome_1	2893934	2950891	trans	SPAC513.05	coding
SPAC5H10.09c	chromosome_3	2087770	2123837	trans	SPNCRNA.1265	non_coding
SPAC5H10.10	chromosome_1	152637	203208	cis	SPAC5H10.10	NA
SPAC5H10.10	chromosome_3	2102509	2119802	trans	SPNCRNA.1264	non_coding
SPAC5H10.11	chromosome_1	2541698	2547852	trans	SPNCRNA.836	non_coding
SPAC5H10.11	chromosome_1	2810876	2813185	trans	SPAC1B2.03c	coding
SPAC5H10.13c	chromosome_1	3440649	3745734	trans	SPAC1B1.02c	coding
SPAC607.06c	chromosome_1	2925637	2955088	trans	SPAPB24D3.04c	coding
SPAC607.08c	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	trans	SPNCRNA.1018	non_coding
SPAC607.09c	chromosome_1	2925637	3326503	trans	SPNCRNA.01	non_coding
SPAC607.10	chromosome_1,chromosome_1	2665053,4602196	3318540,4949138	trans	SPAC513.05	coding
SPAC630.08c	chromosome_3	1156580	1163989	trans	SPCC4B3.10c	coding
SPAC630.12	chromosome_3	657594	677595	trans	SPCC16C4.04	coding
SPAC631.01c	chromosome_3	2102509	2119802	trans	SPCC576.14	coding
SPAC637.03	chromosome_3	2087770	2123837	trans	SPCC576.16c	coding
SPAC637.05c	chromosome_1	3926065	4006684	trans	SPAC11G7.05c	coding
SPAC637.13c	chromosome_1	3921447	3926238	trans	SPAC323.08	coding
SPAC644.04	chromosome_3	2078298	2119802	trans	SPCC576.14	coding
SPAC644.06c	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	cis	SPAC644.06c	NA
SPAC644.06c	chromosome_3	2084276	2123837	trans	SPNCRNA.1264	non_coding
SPAC644.10	chromosome_3	2084276	2093353	trans	SPCC576.03c	coding
SPAC644.12	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC644.14c	chromosome_3	2078298	2093353	trans	SPCPB1C11.03	coding
SPAC664.03	chromosome_3	2084276	2123837	trans	SPCC126.04c	coding
SPAC664.07c	chromosome_3	2101294	2119802	trans	SPCC576.13	coding
SPAC664.08c	chromosome_3	2101294	2123837	trans	SPCC576.13	coding
SPAC664.10	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	trans	SPAC513.05	coding
SPAC664.14	chromosome_1	2925637	3326503	trans	SPNCRNA.01	non_coding
SPAC664.15	chromosome_3	2087770	2119802	trans	SPCC126.02c	coding
SPAC688.03c	chromosome_1	2810876	3326503	cis	SPAC688.03c	NA
SPAC688.03c	chromosome_3	655654	658266	trans	SPNCRNA.1150	non_coding
SPAC688.04c	chromosome_3	2101294	2123837	trans	SPNCRNA.1264	non_coding
SPAC688.07c	chromosome_1	3440649	3557103	cis	SPAC688.07c	NA
SPAC688.09	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC6B12.02c	chromosome_3	2102509	2119802	trans	SPNCRNA.1263	non_coding
SPAC6B12.08	chromosome_1	3315647	3456618	trans	SPAC3A11.14c	coding
SPAC6B12.18	chromosome_1,chromosome_1	3919690,4135582	3926065,4141458	trans	SPAC323.07c	coding
SPAC6C3.04	chromosome_1,chromosome_1	2665053,4602196	2955088,4949138	trans	SPAC1834.11c	coding
SPAC6F12.02	chromosome_1,chromosome_1	2665053,4602196	2926804,4949138	trans	SPAC513.05	coding
SPAC6F12.04	chromosome_1	3315647	3456618	trans	SPAC3H5.04	coding
SPAC6F12.05c	chromosome_3	2102509	2119802	trans	SPCC576.14	coding
SPAC6F12.06	chromosome_3	2101294	2119802	trans	SPNCRNA.1263	non_coding
SPAC6F12.08c	chromosome_1	3926065	3991338	trans	SPAC2F3.14c	coding
SPAC6F12.10c	chromosome_1	1279461	1376403	cis	SPAC6F12.10c	NA
SPAC6F12.12	chromosome_1	3315647	3456618	trans	SPAC2E1P5.02c	coding
SPAC6F12.16c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC6F6.02c	chromosome_1	4115061	4138919	trans	SPNCRNA.959	non_coding
SPAC6F6.04c	chromosome_3	2084276	2119802	trans	SPCC576.14	coding
SPAC6F6.06c	chromosome_3	655654	677595	trans	SPCC5E4.07	coding
SPAC6F6.11c	chromosome_1,chromosome_1	2665053,4323910	2926804,4949138	cis	SPAC6F6.11c	NA
SPAC6F6.16c	chromosome_1	3315647	3556754	cis	SPAC6F6.16c	NA
SPAC6F6.19	chromosome_1,chromosome_1	2925637,4323910	3318540,4366536	cis	SPAC6F6.19	NA
SPAC6G10.07	chromosome_3	2101294	2119802	trans	SPCC126.02c	coding
SPAC6G10.09	chromosome_1	3315647	3326503	cis	SPAC6G10.09	NA
SPAC6G10.12c	chromosome_1	5161435	5202829	trans	SPAC26F1.01	coding
SPAC6G9.02c	chromosome_1	521845	535185	trans	SPAC2F7.02c	coding
SPAC6G9.09c	chromosome_1	5161435	5202829	trans	SPAC26F1.01	coding
SPAC6G9.11	chromosome_3	676403	681957	trans	SPNCRNA.469	non_coding
SPAC6G9.12	chromosome_3	2087770	2119802	trans	SPNCRNA.1263	non_coding
SPAC6G9.14	chromosome_3	2075876	2077429	trans	SPCPB1C11.03	coding
SPAC6G9.16c	chromosome_3	2087770	2119802	trans	SPCC576.11	coding
SPAC732.02c	chromosome_1	3440649	3456618	trans	SPNCRNA.909	non_coding
SPAC750.01	chromosome_2	4288821	4440334	trans	SPBC16C6.08c	coding
SPAC767.01c	chromosome_1	5153377	5200800	trans	SPAC26F1.07	coding
SPAC7D4.03c	chromosome_3	655654	665506	trans	SPCC5E4.07	coding
SPAC7D4.04	chromosome_1	3440649	3557103	trans	SPAC1B1.02c	coding
SPAC7D4.05	chromosome_1	3443342	3556754	trans	SPNCRNA.914	non_coding
SPAC7D4.06c	chromosome_1	3443342	3556754	trans	SPAC3A11.04	coding
SPAC7D4.14c	chromosome_1	3443342	3556754	trans	SPAC1B1.02c	coding
SPAC806.04c	chromosome_1	2893934	2905076	trans	SPACUNK4.06c	coding
SPAC806.04c	chromosome_1	5161435	5202829	trans	SPAC26F1.09	coding
SPAC806.05	chromosome_3	2087770	2119802	trans	SPCC576.13	coding
SPAC806.06c	chromosome_3	2087770	2123837	trans	SPCC576.13	coding
SPAC806.08c	chromosome_1	3315647	3557103	trans	SPAC2E1P5.02c	coding
SPAC806.11	chromosome_1,chromosome_1	2665053,4602196	3326503,4949138	trans	SPAC17D4.01	coding
SPAC821.07c	chromosome_1	3440649	3557103	trans	SPAC328.05	coding
SPAC821.12	chromosome_3	655654	681957	trans	SPNCRNA.469	non_coding
SPAC823.03	chromosome_1	2810876	2813185	trans	SPAC1B2.03c	coding
SPAC823.08c	chromosome_1	460756	535185	trans	SPAPB21F2.03	coding
SPAC823.12	chromosome_1	5403412	5448529	trans	SPAC29B12.02c	coding
SPAC869.07c	chromosome_3	2087770	2123837	trans	SPNCRNA.1264	non_coding
SPAC869.08	chromosome_3	2087770	2123837	trans	SPNCRNA.1264	non_coding
SPAC8C9.08	chromosome_1	3443342	3556754	cis	SPAC8C9.08	NA
SPAC8C9.09c	chromosome_3	2087770	2119802	trans	SPNCRNA.1263	non_coding
SPAC8C9.14	chromosome_2	720635	738366	trans	SPBC119.07	coding
SPAC8C9.15c	chromosome_3	2087770	2119802	trans	SPCC576.13	coding
SPAC8E11.01c	chromosome_1	3723871	3745990	cis	SPAC8E11.01c	NA
SPAC8E11.01c	chromosome_3	2087770	2119802	trans	SPCC126.02c	coding
SPAC8E11.10	chromosome_1	2810876	2813185	cis	SPAC8E11.10	NA
SPAC8F11.04	chromosome_1	512086	522530	trans	SPAC227.13c	coding
SPAC8F11.06	chromosome_3	657594	677595	trans	SPCC16C4.04	coding
SPAC8F11.07c	chromosome_3	2087770	2119802	trans	SPNCRNA.1264	non_coding
SPAC9.05	chromosome_1	3315647	3456618	trans	SPAC3A11.14c	coding
SPAC9.08c	chromosome_3	2076412	2077429	trans	SPCPB1C11.03	coding
SPAC9.10	chromosome_1	3809960	3926065	trans	SPAC4H3.01	coding
SPAC922.03	chromosome_1	3315647	3326503	trans	SPAC2E1P5.02c	coding
SPAC922.04	chromosome_1	3809960	3926065	trans	SPAC1F12.09	coding
SPAC922.05c	chromosome_1	2661698	2666457	trans	SPAC4F8.07c	coding
SPAC922.06	chromosome_1,chromosome_1	2925637,4947071	2950891,4961351	trans	SPAC1B3.16c	coding
SPAC922.07c	chromosome_3	2101294	2119802	trans	SPCC576.14	coding
SPAC922.09	chromosome_1	2925637	3456618	trans	SPNCRNA.903	non_coding
SPAC926.05c	chromosome_3	2078298	2119802	trans	SPCC576.14	coding
SPAC959.03c	chromosome_2	852801	903483	trans	SPNCRNA.1397	non_coding
SPAC959.03c	chromosome_3	2084276	2123837	trans	SPCC126.04c	coding
