SPAC977.18	YBL029C-A
SPAC3C7.08c	YPL226W
SPAC3C7.09	YHL039W
SPAC3C7.09	YPL208W
SPAC3C7.10	YLR191W
SPAC3C7.11c	YAL058W
SPAC3C7.12	YCL029C
SPAC3C7.13c	YNL241C
SPAC3C7.14c	YBR052C
SPAC3C7.14c	YCR004C
SPAC3C7.14c	YDR032C
SPAC25A8.03c	YKL162C
SPAC25A8.01c	YAL019W
SPAC25A8.02	YBR128C
SPAC631.01c	YIL034C
SPAC631.02	YLR399C
SPAC631.02	YDL070W
SPAC20H4.01	YDR398W
SPAC20H4.01	YHR196W
SPAC20H4.02	YOR223W
SPAC20H4.03c	YGL043W
SPAC20H4.04	YIR002C
SPAC20H4.05c	YJR024C
SPAC20H4.07	YDR004W
SPAC20H4.08	YOR043W
SPAC20H4.10	YDL190C
SPAC20H4.11c	YPR165W
SPAC23C11.01	YIL090W
SPAC23C11.02c	YGR118W
SPAC23C11.02c	YPR132W
SPAC23C11.03	YJR002W
SPAC23C11.04c	YMR156C
SPAC23C11.05	YBR011C
SPAC23C11.06c	YNL115C
SPAC23C11.08	YBL021C
SPAC23C11.09	YOR335C
SPAC23C11.10	YLR132C
SPAC23C11.11	YIL035C
SPAC23C11.11	YOR061W
SPAC23C11.12	YFR036W
SPAC23C11.13c	YDR399W
SPAC23C11.13c	YJR133W
SPAC23C11.14	YMR243C
SPAC23C11.14	YOR316C
SPAC23C11.15	YOL004W
SPAC23C11.16	YMR001C
SPAC23C11.17	YPR125W
SPAC23C11.17	YOL027C
SPAC13F5.01c	YHR120W
SPAC13F5.02c	YMR227C
SPAC13F5.04c	YLR181C
SPAC13F5.05	YOR288C
SPAC13F5.06c	YLR166C
SPAC1783.02c	YPR139C
SPAC1783.03	YPL018W
SPAC1783.04c	YDR191W
SPAC1783.04c	YOR025W
SPAC1783.05	YER164W
SPAC1783.06c	YBR217W
SPAC1783.07c	YML007W
SPAC1783.08c	YLR029C
SPAC1783.08c	YMR121C
SPAC18G6.01c	YHR198C
SPAC18G6.01c	YHR199C
SPAC18G6.03	YER031C
SPAC18G6.03	YGL210W
SPAC18G6.04c	YBR263W
SPAC18G6.05c	YGL195W
SPAC18G6.06	YKL099C
SPAC18G6.07c	YLR186W
SPAC18G6.09c	YER035W
SPAC18G6.09c	YGL222C
SPAC18G6.10	YDR458C
SPAC18G6.10	YML034W
SPAC18G6.11c	YKL125W
SPAC18G6.14c	YOR096W
SPAC18G6.14c	YNL096C
SPAC18G6.15	YER016W
SPAC13D6.02c	YNL255C
SPAC13D6.03c	YML014W
SPAC13D6.04c	YIL001W
SPAC13D6.05	YNL148C
SPAC4G9.02	YNL072W
SPAC4G9.04c	YDR228C
SPAC4G9.03	YDR226W
SPAC4G9.03	YER170W
SPAC4G9.06c	YER030W
SPAC4G9.05	YLL013C
SPAC4G9.08c	YOR207C
SPAC4G9.09c	YER069W
SPAC4G9.10	YJL088W
SPAC4G9.11c	YKL032C
SPAC4G9.12	YDR248C
SPAC4G9.13c	YJL053W
SPAC4G9.14	YLR251W
SPAC4G9.15	YBR159W
SPAC4G9.16c	YGL147C
SPAC4G9.16c	YNL067W
SPAC4G9.17c	YBR251W
SPAC4G9.19	YPR061C
SPAC4G9.20c	YPR058W
SPAC4G9.20c	YBR104W
SPAC13G7.01c	YHR072W
SPAC13G7.02c	YAL005C
SPAC13G7.02c	YBL075C
SPAC13G7.02c	YER103W
SPAC13G7.02c	YLL024C
SPAC13G7.03	YGR072W
SPAC13G7.04c	YOL019W
SPAC13G7.04c	YFR012W
SPAC13G7.04c	YMR063W
SPAC13G7.05	YCR048W
SPAC13G7.05	YNR019W
SPAC13G7.06	YPR167C
SPAC13G7.08c	YNL182C
SPAC13G7.11	YBR185C
SPAC13G7.12c	YLR133W
SPAC13G7.12c	YDR147W
SPAC13G7.13c	YHL024W
SPAC6C3.02c	YMR002W
SPAC6C3.04	YNR001C
SPAC6C3.04	YCR005C
SPAC6C3.06c	YIL048W
SPAC6C3.08	YGR232W
SPAC17G8.01c	YJL087C
SPAC17G8.02	YDR400W
SPAC17G8.03c	YER159C
SPAC17G8.15	YDR374W-A
SPAC17G8.04c	YIL062C
SPAC17G8.05	YHR041C
SPAC17G8.06c	YJR016C
SPAC17G8.07	YNL107W
SPAC17G8.08c	YBR187W
SPAC17G8.09	YBR258C
SPAC17G8.10c	YNL116W
SPAC17G8.10c	YHR115C
SPAC17G8.11c	YBR161W
SPAC17G8.11c	YPL057C
SPAC17G8.12	YER008C
SPAC17G8.13c	YBL052C
SPAC17G8.14c	YBL105C
SPAC22H10.03c	YGL241W
SPAC22H10.04	YNR032W
SPAC22H10.05c	YOR250C
SPAC22H10.07	YBR200W
SPAC22H10.10	YER007W
SPAC22H10.11c	YDR223W
SPAC22H10.11c	YLR223C
SPAC22H10.12c	YER136W
SPAC15F9.01c	YGL060W
SPAC15F9.01c	YBR216C
SPAC15F9.02	YGL100W
SPAC15F9.03c	YER009W
SPAC1B9.02c	YHR205W
SPAC1B9.03c	YHR066W
SPAC1B9.03c	YDR312W
SPAC6B12.02c	YLR320W
SPAC6B12.03c	YBR270C
SPAC6B12.03c	YJL058C
SPAC6B12.04c	YJL060W
SPAC6B12.18	YJL184W
SPAC6B12.05c	YNL215W
SPAC6B12.06c	YNL213C
SPAC6B12.08	YNL227C
SPAC6B12.19	YLR221C
SPAC6B12.09	YOL093W
SPAC6B12.10c	YIR008C
SPAC6B12.11	YKL108W
SPAC6B12.12	YNL121C
SPAC6B12.12	YHR117W
SPAC6B12.14c	YJR056C
SPAC6B12.13	YFR003C
SPAC6B12.15	YMR116C
SPSNORNA.11	YNCM0026C
SPAC6B12.16	YBR076W
SPAC32A11.04c	YPL237W
SPAC32A11.01	YOR188W
SPAC19A8.15	YGL026C
SPAC19A8.14	YBL057C
SPAC19A8.13	YIL061C
SPAC19A8.12	YNL118C
SPAC19A8.11c	YFR043C
SPAC19A8.10	YDL013W
SPAC19A8.09	YER074W-A
SPAC19A8.08	YHR077C
SPAC19A8.07c	YNL075W
SPAC19A8.06	YNL181W
SPAC19A8.05c	YNR006W
SPAC19A8.04	YMR015C
SPAC19A8.03	YJR110W
SPAC19A8.02	YHR155W
SPAC19A8.02	YNL257C
SPAC19A8.01c	YPR095C
SPAC23H3.02c	YPR094W
SPAC23H3.03c	YEL062W
SPAC23H3.05c	YAR003W
SPAC23H3.06	YGR261C
SPAC23H3.07c	YPR166C
SPAC23H3.08c	YOR026W
SPAC23H3.09c	YEL046C
SPAC23H3.10	YJL176C
SPAC23H3.11c	YGR143W
SPAC23H3.11c	YPR159W
SPAC23H3.12c	YDL183C
SPAC23H3.13c	YER020W
SPAC23H3.14	YLR114C
SPAC23H3.15c	YMR173W
SPAC25H1.06	YBR195C
SPAC25H1.10c	YOL077W-A
SPAC25H1.07	YCL045C
SPAC25H1.08c	YIR012W
SPAC4A8.03c	YCR079W
SPAC4A8.04	YEL060C
SPAC4A8.04	YOR003W
SPAC4A8.05c	YHR023W
SPAC4A8.07c	YOR171C
SPAC4A8.07c	YLR260W
SPAC4A8.08c	YGR094W
SPAC4A8.09c	YDR482C
SPAC4A8.10	YDL109C
SPAC4A8.10	YDR444W
SPAC4A8.10	YGL144C
SPAC4A8.10	YOR059C
SPAC4A8.11c	YPL231W
SPAC4A8.12c	YKL193C
SPAC4A8.13c	YPR103W
SPAC4A8.14	YKL181W
SPAC4A8.15c	YOR122C
SPAC4A8.16c	YMR309C
SPAC823.17	YOR045W
SPAC823.03	YJL141C
SPAC823.04	YOR287C
SPAC823.05c	YOL018C
SPAC823.06	YPL011C
SPAC823.07	YCR044C
SPAC823.08c	YHR065C
SPAC823.10c	YDL119C
SPAC823.11	YKR053C
SPAC823.11	YJL134W
SPAC823.12	YMR231W
SPAC823.13c	YDR393W
SPAC823.14	YNL010W
SPAC823.15	YDL134C
SPAC823.15	YDL188C
SPAC823.16c	YFR021W
SPAC7D4.12c	YJL107C
SPAC7D4.11c	YLR440C
SPAC7D4.10	YPR036W
SPAC7D4.09c	YIL049W
SPAC7D4.15c	YDL232W
SPAC7D4.07c	YLR043C
SPAC7D4.07c	YGR209C
SPAC7D4.06c	YBL082C
SPAC7D4.05	YMR130W
SPAC7D4.04	YPR049C
SPAC7D4.03c	YDL073W
SPAC4F8.15	YDR497C
SPAC4F8.15	YOL103W
SPAC4F8.15	YDR387C
SPAC4F8.14c	YML126C
SPAC4F8.13c	YPL242C
SPAC4F8.12c	YHR165C
SPAC4F8.11	YOL138C
SPAC4F8.10c	YOR367W
SPAC4F8.07c	YCL040W
SPAC4F8.07c	YDR516C
SPAC4F8.06	YNR036C
SPAC4F8.05c	YDR462W
SPAC4F8.04	YHR088W
SPAC4F8.03	YLR022C
SPAC4F8.02c	YPL173W
SPAC4F8.01	YKL002W
SPAC644.04	YPL228W
SPAC644.04	YMR180C
SPAC644.05c	YBR252W
SPAC644.06c	YCL024W
SPAC644.06c	YDR507C
SPAC644.06c	YKL101W
SPAC644.07	YDR375C
SPAC644.08	YEL038W
SPAC644.09	YBL036C
SPAC644.10	YMR112C
SPAC644.11c	YIL042C
SPAC644.11c	YGL059W
SPAC644.12	YMR213W
SPAC644.13c	YGL198W
SPAC644.14c	YER095W
SPAC644.15	YDL081C
SPAC644.15	YDL130W
SPAC644.17c	YGR220C
SPAC644.16	YGL044C
SPAC644.18c	YKR068C
SPAPB2B4.01c	YMR281W
SPAPB2B4.02	YPL059W
SPAPB2B4.03	YGR108W
SPAPB2B4.03	YPR119W
SPAPB2B4.04c	YGL006W
SPAPB2B4.05	YKL080W
SPAPB2B4.06	YBL095W
SPAC6F6.01	YGR217W
SPAC6F6.02c	YDR306C
SPAC6F6.03c	YNR053C
SPAC6F6.05	YOR103C
SPAC6F6.06c	YLR084C
SPAC6F6.07c	YDR064W
SPAC6F6.08c	YMR055C
SPAC6F6.09	YJR082C
SPAC6F6.10c	YNR035C
SPAC6F6.11c	YNR027W
SPAC6F6.11c	YEL029C
SPAC6F6.12	YJL036W
SPAC6F6.13c	YFL034W
SPAC6F6.19	YLR271W
SPAC6F6.15	YOR089C
SPAC6F6.15	YKR014C
SPAC6F6.15	YNL093W
SPAC6F6.16c	YIL009C-A
SPAC6F6.17	YBR275C
SPAC1805.01c	YOL045W
SPAC1805.01c	YAL017W
SPAC1805.02c	YGR207C
SPAC1805.03c	YOL125W
SPAC1805.04	YKR082W
SPAC1805.05	YNL154C
SPAC1805.05	YHR135C
SPAC1805.05	YER123W
SPAC1805.06c	YGL040C
SPAC1805.07c	YKR083C
SPAC1805.08	YER071C
SPAC1805.18	YBR167C
SPAC1805.18	YGR030C
SPAC1805.09c	YBL013W
SPAC1805.11c	YGL189C
SPAC1805.11c	YER131W
SPAC1805.12c	YIL148W
SPAC1805.12c	YKR094C
SPAC1805.13	YKL006W
SPAC1805.13	YHL001W
SPAC1805.15c	YER125W
SPAC1805.16c	YLR209C
SPAC1805.17	YGR218W
SPAC1B2.02c	YDR470C
SPAC1B2.03c	YJL196C
SPAC1B2.03c	YCR034W
SPAC1B2.03c	YLR372W
SPAC1B2.04	YHR051W
SPAC1B2.05	YLR274W
SPAC3F10.02c	YJL129C
SPAC3F10.02c	YKR050W
SPAC3F10.03	YBR121C
SPAC3F10.03	YPR081C
SPAC3F10.04	YOL049W
SPAC3F10.05c	YPL034W
SPAC3F10.06c	YMR283C
SPAC3F10.07c	YOL110W
SPAC3F10.19	YLR437C
SPAC3F10.08c	YIL019W
SPAC3F10.09	YIL020C
SPAC3F10.10c	YKL178C
SPAC3F10.11c	YLL048C
SPAC3F10.11c	YDR135C
SPAC3F10.11c	YLL015W
SPAC3F10.11c	YHL035C
SPAC3F10.11c	YGR281W
SPAC3F10.12c	YJR060W
SPAC3F10.15c	YHR152W
SPAC3F10.15c	YGR230W
SPAC3F10.13	YOR138C
SPAC3F10.16c	YGL099W
SPAC3F10.17	YKL143W
SPAC3F10.18c	YDL184C
SPAC3F10.18c	YDL133C-A
SPAC8F11.02c	YBL071W-A
SPAC8F11.03	YCR092C
SPAC8F11.04	YHR052W
SPAC8F11.04	YKR060W
SPAC8F11.06	YHR036W
SPAC8F11.06	YGL247W
SPAC8F11.09c	YLR285W
SPACUNK4.16c	YMR261C
SPACUNK4.16c	YML100W
SPACUNK4.15	YGR247W
SPACUNK4.13c	YHL014C
SPACUNK4.12c	YLR389C
SPACUNK4.11c	YNR024W
SPACUNK4.10	YNL274C
SPACUNK4.08	YHR028C
SPACUNK4.08	YOR219C
SPACUNK4.07c	YEL031W
SPAPYUK71.03c	YML072C
SPAPYUK71.03c	YNL087W
SPAPYUK71.03c	YOR086C
SPACUNK4.06c	YDR404C
SPAC513.01c	YOR133W
SPAC513.01c	YDR385W
SPAC513.02	YKL128C
SPAC513.05	YGL156W
SPAC513.07	YGL157W
SPAC513.07	YOL151W
SPAC513.07	YGL039W
SPAC513.07	YDR541C
SPAC2E1P3.01	YCR102C
SPAC2E1P3.01	YLR460C
SPAC2E1P3.01	YNL134C
SPAC2E1P3.02c	YPR138C
SPAC2E1P3.02c	YGR121C
SPAPB24D3.02c	YKL174C
SPAPB24D3.02c	YGL077C
SPAPB24D3.02c	YDL210W
SPAPB24D3.04c	YER142C
SPAPB24D3.08c	YML131W
SPAPB24D3.09c	YDR011W
SPAPB24D3.09c	YNR070W
SPAPB24D3.09c	YPL058C
SPAPB24D3.09c	YOR328W
SPAPB24D3.09c	YOR153W
SPAPB24D3.09c	YDR406W
SPAPB24D3.09c	YCR011C
SPAPB24D3.09c	YOR011W
SPAPB24D3.09c	YIL013C
SPAC31G5.01	YOR319W
SPAC31G5.02	YMR200W
SPAC31G5.03	YDR025W
SPAC31G5.03	YBR048W
SPAC31G5.04	YIL094C
SPAC31G5.05c	YJL121C
SPAC31G5.06	YPR116W
SPAC31G5.07	YBR040W
SPAC31G5.08	YOR278W
SPAC31G5.09c	YBL016W
SPAC31G5.09c	YGR040W
SPAC31G5.10	YBR049C
SPAC31G5.10	YDR026C
SPAC31G5.11	YEL007W
SPAC31G5.11	YHR177W
SPAC31G5.12c	YDR005C
SPAC31G5.13	YFR004W
SPAC31G5.14	YDR019C
SPAC31G5.15	YGR170W
SPAC31G5.16c	YPR183W
SPAC31G5.17c	YOR293W
SPAC31G5.17c	YMR230W
SPAC31G5.19	YGR270W
SPAC1786.01c	YKR089C
SPAC1786.01c	YOR081C
SPAC1786.02	YMR008C
SPAC1786.02	YMR006C
SPAC1786.02	YOL011W
SPAC1786.03	YML031W
SPAC24C9.02c	YKL087C
SPAC24C9.03	YNR043W
SPAC24C9.16c	YLR395C
SPAC24C9.04	YNR010W
SPAC24C9.06c	YLR304C
SPAC24C9.07c	YLR342W
SPAC24C9.07c	YGR032W
SPAC24C9.07c	YMR306W
SPAC24C9.08	YJL172W
SPAC24C9.09	YKL194C
SPAC24C9.10c	YHL004W
SPAC24C9.11	YLR336C
SPAC24C9.12c	YLR058C
SPAC24C9.13c	YDL045W-A
SPAC24C9.14	YFL044C
SPAC16A10.01	YJL107C
SPAC16A10.03c	YMR231W
SPAC16A10.02	YMR039C
SPAC16A10.04	YKR055W
SPAC16A10.05c	YDR016C
SPAC16A10.06c	YEL019C
SPAC589.02c	YDR443C
SPAC589.03c	YDR060W
SPAC589.04	YHR083W
SPAC589.06c	YBR106W
SPAC589.07c	YFR021W
SPAC589.08c	YGR113W
SPAC589.09	YLR380W
SPAC589.10c	YLR167W
SPAC589.11	YOL114C
SPAC589.12	YCR017C
SPAC688.02c	YPL233W
SPAC688.03c	YOR289W
SPAC688.04c	YIR038C
SPAC688.06c	YLR135W
SPAC688.08	YCR081W
SPAC688.09	YBR192W
SPAC688.10	YPL167C
SPAC688.11	YNL243W
SPAC688.13	YMR262W
SPAC688.14	YDR257C
SPAC3G9.16c	YML077W
SPAC3G9.15c	YLR051C
SPAC3G9.14	YLR176C
SPAC3G9.13c	YDR268W
SPAC3G9.12	YBL034C
SPAC3G9.11c	YGR087C
SPAC3G9.11c	YLR134W
SPAC3G9.11c	YLR044C
SPAC3G9.11c	YDL080C
SPAC3G9.17	YPL148C
SPAC3G9.10c	YGR195W
SPAC3G9.09c	YJR007W
SPAC3G9.08	YHR090C
SPAC3G9.08	YNL097C
SPAC3G9.08	YOR064C
SPAC3G9.07c	YGL194C
SPAC3G9.06	YFL022C
SPAC3G9.05	YLL021W
SPAC3G9.05	YLR313C
SPAC3G9.04	YNL222W
SPAC3G9.03	YBL087C
SPAC3G9.03	YER117W
SPAC3G9.02	YKL055C
SPAC1486.01	YHR008C
SPAC1486.02c	YOL073C
SPAC1486.03c	YLR424W
SPAC1486.05	YGL092W
SPAC1486.11	YIL098C
SPAC1486.06	YOR209C
SPAC1486.07c	YNL185C
SPAC1486.08	YJL003W
SPAC1486.09	YOR056C
SPAC6G10.02c	YHR158C
SPAC6G10.02c	YGR238C
SPAC6G10.03c	YGR110W
SPAC6G10.04c	YMR314W
SPAC6G10.05c	YDR407C
SPAC6G10.06	YHR009C
SPAC6G10.07	YMR125W
SPAC6G10.08	YDL066W
SPAC6G10.08	YLR174W
SPAC6G10.08	YNL009W
SPAC6G10.09	YGL027C
SPAC6G10.11c	YLR167W
SPAC6G10.12c	YLR131C
SPAC6G9.02c	YJL010C
SPAC6G9.03c	YNL206C
SPAC6G9.05	YLR151C
SPAC6G9.06c	YDR356W
SPAC6G9.07c	YKL013C
SPAC6G9.08	YFR010W
SPAC6G9.09c	YGL031C
SPAC6G9.09c	YGR148C
SPAC6G9.10c	YLR430W
SPAC6G9.11	YAL030W
SPAC6G9.11	YOR327C
SPAC6G9.12	YLR330W
SPAC6G9.14	YGL014W
SPAC6G9.14	YGL178W
SPAC6G9.16c	YGL090W
SPAPB1E7.02c	YPR135W
SPAPB1E7.03	YPR190C
SPAPB1E7.04c	YLR286C
SPAPB1E7.04c	YDR371W
SPAPB1E7.05	YPL110C
SPAPB1E7.06c	YBR098W
SPAPB1E7.07	YDL171C
SPAPB1E7.09	YOR321W
SPAPB1E7.09	YGR199W
SPAPB1E7.09	YAL023C
SPAPB1E7.10	YJL011C
SPAPB1E7.12	YPL090C
SPAPB1E7.12	YBR181C
SPAC2E1P5.01c	YJR131W
SPAC2E1P5.03	YFR041C
SPAC2E1P5.04c	YGL155W
SPAC2E1P5.05	YPR137W
SPAC26A3.01	YLR120C
SPAC26A3.01	YDR144C
SPAC26A3.01	YLR121C
SPAC26A3.01	YIR039C
SPAC26A3.01	YDR349C
SPAC26A3.03c	YPL024W
SPAC26A3.04	YMR242C
SPAC26A3.04	YOR312C
SPAC26A3.05	YGL206C
SPAC26A3.06	YCR047C
SPAC26A3.07c	YPR102C
SPAC26A3.07c	YGR085C
SPAC26A3.08	YER029C
SPAC26A3.09c	YPL115C
SPAC26A3.12c	YOR048C
SPAC26A3.11	YLR351C
SPAC26A3.14c	YIL156W-B
SPAC26A3.15c	YJL041W
SPAC26A3.16	YMR276W
SPAC26A3.17c	YDR465C
SPAC8E11.07c	YOR265W
SPAC8E11.05c	YBL010C
SPAC8E11.04c	YLR118C
SPAC8E11.03c	YER179W
SPAC8E11.02c	YDR099W
SPAC8E11.02c	YER177W
SPAC8E11.01c	YIL162W
SPAC959.02	YBL050W
SPAC959.03c	YER082C
SPAC959.10	YMR059W
SPSNORNA.20	YNCL0003W
SPAC959.05c	YIL005W
SPAC959.07	YJR145C
SPAC959.07	YHR203C
SPAC959.08	YBR191W
SPAC959.08	YPL079W
SPAC959.09c	YOR249C
SPAP32A8.02	YJR096W
SPAC3H5.12c	YPL131W
SPAC3H5.11	YEL041W
SPAC3H5.11	YJR049C
SPAC3H5.10	YBL092W
SPAC3H5.09c	YLR454W
SPAC3H5.09c	YPR117W
SPAC3H5.08c	YMR102C
SPAC3H5.08c	YKL121W
SPAC3H5.07	YGL076C
SPAC3H5.07	YPL198W
SPAC3H5.06c	YNL102W
SPAC3H5.04	YBL074C
SPAC3H5.05c	YCR031C
SPAC3H5.05c	YJL191W
SPAC3A11.14c	YPR141C
SPAC3A11.13	YLR200W
SPAC3A11.12c	YOR117W
SPAC3A11.11c	YPR127W
SPAC3A11.09	YLR138W
SPAC3A11.07	YMR145C
SPAC3A11.07	YDL085W
SPAC3A11.06	YMR004W
SPAC3A11.04	YLR404W
SPAC3A11.03	YJR129C
SPAC3A11.02	YPL054W
SPAC328.01c	YDR335W
SPAC328.02	YKR017C
SPAC328.03	YBR126C
SPAC328.04	YER047C
SPAC328.04	YPL074W
SPAC328.05	YNL004W
SPAC328.05	YCL011C
SPAC328.06	YOR124C
SPAC328.07c	YBR290W
SPAC328.08c	YPL241C
SPAC328.09	YOR222W
SPAC328.09	YPL134C
SPAC328.10c	YJR123W
SPAC16E8.01	YBL007C
SPAC16E8.02	YGL010W
SPAC16E8.03	YFL017C
SPAC16E8.04c	YPR060C
SPAC16E8.06c	YOL041C
SPAC16E8.07c	YOR270C
SPAC16E8.07c	YMR054W
SPAC16E8.09	YAL041W
SPAC16E8.10c	YJR113C
SPAC16E8.11c	YDR311W
SPAC16E8.13	YHL010C
SPAC16E8.14c	YBR261C
SPAC16E8.15	YOL139C
SPAC16E8.16	YPR086W
SPAC16E8.17c	YOR142W
SPAC1B1.02c	YEL041W
SPAC1B1.02c	YJR049C
SPAC1B1.03c	YLR347C
SPAC1B1.04c	YKL025C
SPAC17A2.02c	YPR114W
SPAC17A2.02c	YJR116W
SPAC17A2.03c	YLR447C
SPAC17A2.04c	YBR155W
SPAC17A2.05	YJR051W
SPAC17A2.05	YEL047C
SPAC17A2.06c	YAL002W
SPAC17A2.08c	YKR022C
SPAC17A2.09c	YBR212W
SPAC17A2.12	YOR191W
SPAC17A2.13c	YDR099W
SPAC17A2.13c	YER177W
SPAC17A2.14	YKL064W
SPAC17G6.02c	YOR049C
SPAC17G6.02c	YER185W
SPAC17G6.02c	YGR213C
SPAC17G6.02c	YLR046C
SPAC17G6.04c	YDL090C
SPAC17G6.03	YHR202W
SPAC17G6.05c	YPL084W
SPAC17G6.06	YER074W
SPAC17G6.06	YIL069C
SPAC17G6.07c	YGL098W
SPAC17G6.08	YDR323C
SPAC17G6.09	YPL094C
SPAC17G6.10	YFR037C
SPAC17G6.11c	YGR143W
SPAC17G6.11c	YPR159W
SPAC17G6.12	YDL132W
SPAC17G6.14c	YDL084W
SPAC17G6.15c	YOR271C
SPAC17G6.16c	YLR277C
SPAC1142.01	YDR333C
SPAC1142.02c	YOR007C
SPAC1142.03c	YPL121C
SPAC1142.04	YOR206W
SPAC1142.05	YLR411W
SPAC1142.06	YDL100C
SPAC1142.07c	YLR025W
SPAC1142.08	YPR104C
SPAC8C9.03	YIL033C
SPAC8C9.05	YDL219W
SPAC8C9.06c	YLR067C
SPAC8C9.07	YLR068W
SPAC8C9.08	YJR123W
SPAC8C9.10c	YKL082C
SPAC8C9.11	YGL220W
SPAC8C9.19	YJL127C-B
SPAC8C9.12c	YJL133W
SPAC8C9.12c	YKR052C
SPAC8C9.14	YGL073W
SPAC8C9.14	YHR206W
SPAC8C9.14	YOR140W
SPAC8C9.15c	YDR211W
SPAC8C9.16c	YPL196W
SPAC8C9.17c	YKR037C
SPAC15A10.01	YMR301C
SPAC15A10.02	YDR145W
SPAC15A10.03c	YGL163C
SPAC15A10.04c	YGR211W
SPAC15A10.05c	YNL200C
SPAC15A10.17	YPL189C-A
SPAC15A10.06	YDR456W
SPAC15A10.09c	YLR414C
SPAC15A10.11	YGR184C
SPAC15A10.11	YLR024C
SPAC15A10.12c	YEL048C
SPAC15A10.13	YOR112W
SPAC15A10.15	YOR073W
SPAC15A10.16	YLR319C
SPAC15E1.03	YNL162W
SPAC15E1.03	YHR141C
SPAC15E1.04	YOR074C
SPAC15E1.05c	YGR007W
SPAC15E1.06	YHR012W
SPAC15E1.07c	YHR014W
SPAC15E1.08	YHR013C
SPAC15E1.09	YDR513W
SPAC15E1.09	YCL035C
SPAC15E1.10	YCR076C
SPAP7G5.02c	YMR217W
SPAP7G5.03	YNL279W
SPAP7G5.04c	YBR115C
SPAP7G5.05	YLR075W
SPAP7G5.06	YBR068C
SPAP7G5.06	YBR069C
SPAP7G5.06	YCL025C
SPAP7G5.06	YDR046C
SPAP7G5.06	YDR508C
SPAP7G5.06	YGR191W
SPAP7G5.06	YKR039W
SPAP7G5.06	YNL268W
SPAP7G5.06	YNL270C
SPAP7G5.06	YOL020W
SPAP4C9.02	YIL027C
SPAC1556.01c	YNL250W
SPAC1556.02c	YKL148C
SPAC1556.02c	YJL045W
SPAC1556.03	YHR076W
SPAC1556.04c	YLR245C
SPAC1556.05c	YGL029W
SPAC1556.07	YFL045C
SPAC1556.08c	YGL115W
SPAC1F12.02c	YKL056C
SPAC1F12.04c	YOL147C
SPAC1F12.05	YOR322C
SPAC1F12.07	YOR184W
SPAC1F12.08	YGR277C
SPAC1F12.09	YDR434W
SPAC1F12.10c	YMR073C
SPAC4H3.01	YER048C
SPAC4H3.01	YIR004W
SPAC4H3.02c	YAL011W
SPAC4H3.04c	YJR008W
SPAC4H3.05	YJL092W
SPAC4H3.07c	YOR286W
SPAC4H3.07c	YOR285W
SPAC4H3.08	YKR009C
SPAC4H3.09	YKL192C
SPAC4H3.10c	YAL038W
SPAC4H3.10c	YOR347C
SPSNORNA.30	YNCO0015C
SPAC4H3.13	YKR095W-A
SPAC1071.01c	YAL043C
SPAC1071.02	YIL128W
SPAC1071.03c	YOL031C
SPAC1071.04c	YML055W
SPAC1071.05	YIL110W
SPAC1071.06	YMR033W
SPAC1071.07c	YOL040C
SPAC1071.08	YOL039W
SPAC1071.08	YDR382W
SPAC1071.10c	YGL008C
SPAC1071.12c	YPR073C
SPAC926.02	YNL193W
SPAC926.03	YPR188C
SPAC926.04c	YPL240C
SPAC926.04c	YMR186W
SPAC926.05c	YJR097W
SPAC926.07c	YDR424C
SPAC926.08c	YKR081C
SPAC926.09c	YKL182W
SPAC323.01c	YPL188W
SPAC323.02c	YGR253C
SPAC323.03c	YGR077C
SPAC323.04	YDR061W
SPAC323.05c	YDR140W
SPAC323.06c	YPL003W
SPAC323.07c	YDR338C
SPAC323.07c	YHR032W
SPAC323.08	YLR145W
SPAC2F3.01	YBR161W
SPAC2F3.01	YPL057C
SPAC2F3.17c	YDR378C
SPAC2F3.02	YLR292C
SPAC2F3.03c	YNL248C
SPAC2F3.04c	YCR028C-A
SPAC2F3.05c	YJR096W
SPAC2F3.06c	YBR017C
SPAC2F3.09	YDR232W
SPAC2F3.18c	YPR170W-B
SPAC2F3.10	YDR027C
SPAC2F3.11	YHR201C
SPAC2F3.12c	YDR183W
SPAC2F3.15	YKL139W
SPAC11G7.02	YER125W
SPAC11G7.03	YNL037C
SPAC11G7.04	YIL148W
SPAC11G7.04	YKR094C
SPAC11G7.05c	YOR221C
SPAPB18E9.01	YHR070W
SPAPB18E9.02c	YFL033C
SPAC27E2.02	YCR059C
SPAC27E2.02	YDL177C
SPAC27E2.03c	YBR025C
SPAC27E2.05	YJR006W
SPAC27E2.06c	YGR171C
SPAC27E2.09	YIL147C
SPAC27E2.10c	YNL290W
SPAPJ698.02c	YGR214W
SPAPJ698.02c	YLR048W
SPAPJ698.03c	YML049C
SPAC19G12.01c	YDR118W
SPAC19G12.02c	YNL082W
SPAC19G12.03	YLR307W
SPAC19G12.03	YLR308W
SPAC19G12.04	YIR032C
SPAC19G12.05	YBR291C
SPAC19G12.06c	YBL003C
SPAC19G12.06c	YDR225W
SPAC19G12.08	YMR272C
SPAC19G12.09	YDL124W
SPAC19G12.10c	YMR297W
SPAC19G12.10c	YBR139W
SPAC19G12.11	YLR201C
SPAC19G12.12	YBR003W
SPAC19G12.14	YDR208W
SPAC19G12.15c	YDR074W
SPAC23A1.02c	YIL039W
SPAC23A1.03	YML022W
